date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:47	77/77	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jun%202020%2013:42:54%20GMT	https://codewithharry.com/robots.txt		(from )
19:42:48	13173/13173	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:42:54%20GMT	https://codewithharry.com/	E:/New%20folder/website1/codewithharry.com/index.html	(from )
19:42:49	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%221550076050%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	E:/New%20folder/website1/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://codewithharry.com/)
19:42:49	76/76	---M-Z	200	added ('OK')	text/css	etag:%224c-58f0c9722c27e-gzip%22	https://codewithharry.com/static/common/css/base.css	E:/New%20folder/website1/codewithharry.com/static/common/css/base.css	(from https://codewithharry.com/)
19:42:55	50490/50490	---M--	200	added ('OK')	image/png	etag:%22c53a-58f0c9722c27e%22	https://codewithharry.com/static/common/img/favicon.png	E:/New%20folder/website1/codewithharry.com/static/common/img/favicon.png	(from https://codewithharry.com/)
19:42:56	50490/50490	---M--	200	added ('OK')	image/png	etag:%22c53a-58f0c9722c27e%22	https://codewithharry.com/static/common/img/photo.png	E:/New%20folder/website1/codewithharry.com/static/common/img/photo.png	(from https://codewithharry.com/)
19:42:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jun%202020%2013:42:58%20GMT	https://codewithharry.com/videos	E:/New%20folder/website1/codewithharry.com/videos.5.delayed	(from https://codewithharry.com/)
19:42:57	110021/110021	---MC-	200	added ('OK')	text/javascript	date:Mon,%2008%20Jun%202020%2013:42:56%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	E:/New%20folder/website1/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://codewithharry.com/)
19:42:57	23418/23418	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:43:04%20GMT	https://codewithharry.com/videos/	E:/New%20folder/website1/codewithharry.com/videos/index.html	(from https://codewithharry.com/)
19:42:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jun%202020%2013:43:04%20GMT	https://codewithharry.com/blog	E:/New%20folder/website1/codewithharry.com/blog.6.delayed	(from https://codewithharry.com/)
19:42:58	12052/12052	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:43:04%20GMT	https://codewithharry.com/blog/	E:/New%20folder/website1/codewithharry.com/blog/index.html	(from https://codewithharry.com/)
19:42:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jun%202020%2013:43:04%20GMT	https://codewithharry.com/contact	E:/New%20folder/website1/codewithharry.com/contact	(from https://codewithharry.com/)
19:42:59	12924/12924	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:43:05%20GMT	https://codewithharry.com/contact/	E:/New%20folder/website1/codewithharry.com/contact/index.html	(from https://codewithharry.com/)
19:43:00	105641/105641	---M--	200	added ('OK')	image/jpeg	etag:%2219ca9-58f0c9722d21e%22	https://codewithharry.com/static/home/img/coding.jpg	E:/New%20folder/website1/codewithharry.com/static/home/img/coding.jpg	(from https://codewithharry.com/)
19:43:02	42286/42286	---M--	200	added ('OK')	image/png	etag:%22a52e-58f0c9722d21e%22	https://codewithharry.com/static/home/img/lambda.png	E:/New%20folder/website1/codewithharry.com/static/home/img/lambda.png	(from https://codewithharry.com/)
19:43:02	37/37	---M--	200	added ('OK')	application/javascript	etag:%2225-58f0c9722c27e%22	https://codewithharry.com/static/common/js/base.js	E:/New%20folder/website1/codewithharry.com/static/common/js/base.js	(from https://codewithharry.com/)
19:43:03	49289/49289	---MC-	200	added ('OK')	application/javascript	date:Mon,%2008%20Jun%202020%2013:43:09%20GMT	https://apis.google.com/js/platform.js	E:/New%20folder/website1/apis.google.com/js/platform.js	(from https://codewithharry.com/)
19:43:03	101444/101444	---M--	200	added ('OK')	image/png	etag:%2218c44-58f0c9722d21e%22	https://codewithharry.com/static/home/img/python.png	E:/New%20folder/website1/codewithharry.com/static/home/img/python.png	(from https://codewithharry.com/)
19:43:03	674/674	---MC-	200	added ('OK')	text/javascript	date:Mon,%2008%20Jun%202020%2013:43:09%20GMT	https://www.google.com/recaptcha/api.js	E:/New%20folder/website1/www.google.com/recaptcha/api.js	(from https://codewithharry.com/)
